,AG,AI_AR,BL_BS,BE_JU,FR,GE_VD,GL,GR,LU,NE,NW_OW_UR,SG,SH_ZH,SZ_ZG,SO,TG,TI,VS
2015-01-01 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 07:00,0.021,0.072566338,0.013933297,0.033532804,0.036,0.04059608,0.086,0.117,0.057,0.02,0.075326514,0.071,0.031939328,0.068628586,0.024,0.034,0.11,0.076
2015-01-01 08:00,0.187,0.339132675,0.162733189,0.274650897,0.296,0.319707455,0.368,0.405,0.325,0.25,0.361045474,0.339,0.225168549,0.341759222,0.23,0.233,0.385,0.383
2015-01-01 09:00,0.384,0.515057067,0.370733189,0.482364813,0.505,0.508949807,0.541,0.571,0.507,0.489,0.536709247,0.514,0.418843832,0.519257173,0.443,0.425,0.551,0.563
2015-01-01 10:00,0.503,0.604396581,0.494666486,0.593351692,0.609,0.610515295,0.627,0.65,0.603,0.596,0.626807358,0.603,0.531726977,0.611130636,0.56,0.536,0.636,0.657
2015-01-01 11:00,0.566,0.627905851,0.550399676,0.62346193,0.639,0.643919216,0.648,0.667,0.632,0.626,0.64990547,0.624,0.589198885,0.637836749,0.596,0.591,0.654,0.684
2015-01-01 12:00,0.499,0.580566338,0.492666486,0.585968491,0.604,0.611,0.604,0.621,0.589,0.591,0.609737356,0.578,0.518813496,0.593963286,0.554,0.519,0.61,0.648
2015-01-01 13:00,0.385,0.460981459,0.380666486,0.479475051,0.5,0.511242352,0.491,0.506,0.477,0.488,0.500171695,0.459,0.396869679,0.483130636,0.445,0.39,0.5,0.547
2015-01-01 14:00,0.184,0.251151216,0.180866595,0.284858252,0.311,0.328323136,0.289,0.302,0.264,0.3,0.293993868,0.245,0.202696641,0.279714311,0.244,0.197,0.304,0.358
2015-01-01 15:00,0.014,0.015415122,0.016133405,0.042026243,0.056,0.074050193,0.027,0.027,0.024,0.052,0.03171896,0.014,0.013822473,0.0273347,0.03,0.011,0.039,0.079
2015-01-01 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02 04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02 06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02 07:00,0.03,0.051245365,0.020666486,0.036532804,0.04,0.03959608,0.053,0.055,0.048,0.028,0.053868678,0.052,0.038116855,0.048959187,0.028,0.04,0.089,0.056
2015-01-02 08:00,0.206,0.260566338,0.161399135,0.228391056,0.248,0.264,0.272,0.283,0.262,0.189,0.286521218,0.258,0.221995511,0.263461237,0.193,0.222,0.347,0.353
2015-01-02 09:00,0.317,0.43588731,0.242732107,0.351223066,0.365,0.382161568,0.495,0.49,0.454,0.276,0.498886043,0.427,0.360311251,0.481342897,0.3,0.352,0.52,0.527
2015-01-02 10:00,0.317,0.473038526,0.233132324,0.386152192,0.41,0.448161568,0.564,0.58,0.523,0.289,0.573133872,0.459,0.376311251,0.549555158,0.314,0.362,0.601,0.602
